Employee Id,Name,Job Title,Email,Manager,Status,Start Date,Department,Location,Salary,Bonus,End Date,Photo,Performance,Project,Entity,Recruiting,Skill,Role,Utilization,Source,level
p_DrnEHzsrxaHOPnwwNDBwy,Melody Himes,CEO,melody.himes@yahoo.com,,Active,2018-01-01,Customer Support and Success,"Toronto, Canada",20000000,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Self-serve,Agentnoon Canada Inc.,,,,,,1
p_cNNDKZRLm2DMkjKXx8YPdo,Pablo Pitts,CHRO,pablo.pitts@hotmail.com,p_DrnEHzsrxaHOPnwwNDBwy,Active,2018-01-01,Business Intelligence,"Paris, France",157478.1361,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Audit,Agentnoon USA Inc.,,,,,,2
p_XkJbblsKUlQoR5W1DxAN7t,Drew Bromley,CLO,drew.bromley@godaddy.com,p_DrnEHzsrxaHOPnwwNDBwy,Active,2018-01-01,Network Operations,"San Francisco, United States",134256.292,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Retention,Agentnoon Canada Inc.,,,,,,2
p_FEaU556X6F8tMioU8WrDN,Christopher Mcardle,CLO,christopher.mcardle@efficientoffice.com,p_DrnEHzsrxaHOPnwwNDBwy,Active,2018-01-01,Finance and Accounting,"Paris, France",146885.8933,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Retention,Agentnoon EU Inc.,,,,,,2
p_qGANANkLanxTJvL6eHPNmym,Marita Rudge,CBO,marita.rudge@godaddy.com,p_DrnEHzsrxaHOPnwwNDBwy,Active,2018-01-01,Software Development,"London, United Kingdom",118144.8648,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Re-Design,Agentnoon EU Inc.,,,,,,2
p_P7lSz8GTk0HF8V8d0Ra6E,Harold Kilmer,Intermediate VP of  Engineering,harold.kilmer@efficientoffice.com,p_cNNDKZRLm2DMkjKXx8YPdo,Active,2018-01-03,Digital Marketing,"San Francisco, United States",101242.9921,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,💥 At Risk,Audit,Agentnoon Asia Inc.,,,,,,3
p_9fCpnHvyvnnbJUqzQcUpr,Derek Rivera,VP of  IT,derek.rivera@gmail.com,p_cNNDKZRLm2DMkjKXx8YPdo,Active,2018-01-01,User Experience (UX) Design,"London, United Kingdom",96194.71111,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,🏆 Outstanding,Audit,Agentnoon Canada Inc.,,,,,,3
p_WmU7raAVSce7hdaoDKUdGZ,Martha Dickey,Intermediate VP of  Engineering,martha.dickey@efficientoffice.com,p_cNNDKZRLm2DMkjKXx8YPdo,Active,2018-01-13,Customer Support and Success,"Berlin, Germany",105249.654,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,👏 Exceeds Expectations,Re-Design,Agentnoon Canada Inc.,,,,,,3
p_wxISoPHXyh6A9jhDKEzuWH,Maxine Martinez,Lead VP of Sales,maxine.martinez@yahoo.com,p_XkJbblsKUlQoR5W1DxAN7t,Active,2018-01-05,Cloud Computing,"London, United Kingdom",91981.43107,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,⛔ Needs Improvement,Audit,Agentnoon Canada Inc.,,,,,,3
p_drglzAuiiGDKLlydiuPLNR,Johnnie Mitchell,Senior VP of  Operations,johnnie.mitchell@gmail.com,p_XkJbblsKUlQoR5W1DxAN7t,Active,2018-01-15,Cloud Computing,"Berlin, Germany",93675.06449,20000,,https://ui-avatars.com/api/?name=0&background=1&color=fff,🏆 Outstanding,Retention,Agentnoon Canada Inc.,,,,,,3
